eventID,institutionCode,ownerInstitutionCode,datasetName,rightsHolder,language,license,datasetID,eventDate,year,eventDate 2,month,day,eventRemarks,samplingProtocol,habitat,dynamicProperties,recordedBy,locationID,continent,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,waterBody,municipality,countryCode,decimalLongitude,decimalLatitude,geodeticDatum,coordinateUncertaintyInMeters
BEVL_VMM_788970:21032116,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-13,2000,07_13,7,13,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Oily substances,Solid waste"",""Water surface"":""Oil"",""Water column"":""Methane production"",""Pollution"":""Unknown"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Geert Meganck,BEVL_VMM_788970,Europe,103113,203409,Belgian Lambert 72,Scheldt river basin;SLEIDINGSVAARDEKEN;BEVL_WLC_L107_218,Evergem,BE,3.69882,51.13883,WGS84,30
BEVL_VMM_789500:21032117,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-13,2000,07_13,7,13,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""No remarks"",""Water surface"":""Oil"",""Water column"":""Methane production"",""Pollution"":""Unknown"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_789500,Europe,105931,200727,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_165,Evergem,BE,3.73941,51.11495,WGS84,30
BEVL_VMM_731000:21032118,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-12,2000,07_12,7,12,Previous weather:Heavy rainfall;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""Methane production,Sphaerotilus"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Laurent Neuville,BEVL_VMM_731000,Europe,97681,167710,Belgian Lambert 72,Scheldt river basin;MOLENBEEK - MARKEBEEK;BEVL_WLC_L111_1019,Maarkedal,BE,3.62631,50.81748,WGS84,30
BEVL_VMM_740000:21032119,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-12,2000,07_12,7,12,Previous weather:No remarks;Current weather:Heavy rainfall,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Gravel-boulders"",""Substrate condition"":""Leaves & branches,Oily substances,Solid waste,Plastics"",""Water surface"":""Plant cuttings / plants,Oil"",""Water column"":""No visual pollution"",""Pollution"":""Domestic discharges,Industrial discharges"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Ward De Cooman,BEVL_VMM_740000,Europe,92125,158845,Belgian Lambert 72,Scheldt river basin;MOLENBEEK (RONSE);BEVL_WLC_L111_1022,Ronse,BE,3.54886,50.73726,WGS84,30
BEVL_VMM_742500:21032120,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-12,2000,07_12,7,12,Previous weather:Heavy rainfall;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""No remarks"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution,Unknown"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_742500,Europe,81335,159456,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_204,Avelgem,BE,3.3959,50.74159,WGS84,30
BEVL_VMM_905300:21033346,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-07-13,2000,07_13,7,13,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate condition"":""No remarks"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Laurent Neuville,BEVL_VMM_905300,Europe,74866,192724,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_20,Wingene,BE,3.29746,51.03982,WGS84,30
BEVL_VMM_169700:21033370,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-10-19,2000,10_19,10,19,Previous weather:Heavy rainfall;Current weather:Very sunny,Grab sampler,Mlz:Freshwater mesotidal lowland estuary;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""No remarks"",""Water surface"":""Plant cuttings / plants,Floating waste"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Geert Meganck,BEVL_VMM_169700,Europe,106434,193191,Belgian Lambert 72,Scheldt river basin;ZEESCHELDE I;BEVL11_40,Gent,BE,3.74749,51.04725,WGS84,30
BEVL_VMM_169500:21033371,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-10-19,2000,10_19,10,19,Previous weather:Heavy rainfall;Current weather:Very sunny,Grab sampler,Mlz:Freshwater mesotidal lowland estuary;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""No remarks"",""Water surface"":""Plant cuttings / plants,Floating waste"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Geert Meganck,BEVL_VMM_169500,Europe,108523,193458,Belgian Lambert 72,Scheldt river basin;ZEESCHELDE I;BEVL11_40,Destelbergen,BE,3.77725,51.0498,WGS84,30
BEVL_VMM_745000:21034442,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-11-09,2000,11_09,11,9,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""No remarks"",""Water surface"":""Surfactant foam"",""Water column"":""Other"",""Pollution"":""Domestic discharges,Industrial discharges,Diffuse agricultural pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels,BEVL_VMM_745000,Europe,77837,157988,Belgian Lambert 72,Scheldt river basin;GROTE SPIEREBEEK;BEVL11_59,Spiere-Helkijn,BE,3.34663,50.72797,WGS84,30
BEVL_VMM_744000:21034443,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-11-09,2000,11_09,11,9,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Plastics"",""Water surface"":""No visual pollution"",""Water column"":""Flocs"",""Pollution"":""Domestic discharges"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Joost Mertens,BEVL_VMM_744000,Europe,79082,157164,Belgian Lambert 72,Scheldt river basin;ZWARTE SPIEREBEEK;BEVL05_64,Spiere-Helkijn,BE,3.36442,50.72071,WGS84,30
BEVL_VMM_739100:21034444,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-11-09,2000,11_09,11,9,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""Domestic discharges,Industrial discharges"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Joost Mertens,BEVL_VMM_739100,Europe,86195,161142,Belgian Lambert 72,Scheldt river basin;RONE;BEVL05_61,Mont-de-l'Enclus,BE,3.46446,50.75729,WGS84,30
BEVL_VMM_738100:21034445,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-11-09,2000,11_09,11,9,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Solid waste"",""Water surface"":""Surfactant foam"",""Water column"":""No visual pollution"",""Pollution"":""Domestic discharges"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Joost Mertens,BEVL_VMM_738100,Europe,84365,161917,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_204,Avelgem,BE,3.43839,50.76406,WGS84,30
BEVL_VMM_700100:21034840,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-11-16,2000,11_16,11,16,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches"",""Water surface"":""Oil"",""Water column"":""Sphaerotilus"",""Pollution"":""Domestic discharges"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Geert Meganck,BEVL_VMM_700100,Europe,106105,188069,Belgian Lambert 72,Scheldt river basin;MELSENBEEK;BEVL_WLC_L111_1105,Merelbeke,BE,3.74341,51.00118,WGS84,30
BEVL_VMM_530000:21034841,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-11-16,2000,11_16,11,16,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bg:Large stream;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Geert Meganck,BEVL_VMM_530000,Europe,120696,166477,Belgian Lambert 72,Scheldt river basin;MOLENBEEK - PACHTBOSBEEK;BEVL05_73,Geraardsbergen,BE,3.95299,50.80801,WGS84,30
BEVL_VMM_522500:21034842,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-11-16,2000,11_16,11,16,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Clay-loam"",""Water surface"":""Oil"",""Water column"":""No visual pollution"",""Pollution"":""Domestic discharges"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_522500,Europe,128439,177392,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_70,Denderleeuw,BE,4.06221,50.90646,WGS84,30
BEVL_VMM_551000:21036012,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-05,2000,12_05,12,5,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches,Oily substances"",""Water surface"":""Oil"",""Water column"":""Sphaerotilus"",""Pollution"":""Industrial discharges,Diffuse agricultural pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""strengthened""}",Philippe Michiels;Laurent Neuville,BEVL_VMM_551000,Europe,115014,190915,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_31,Laarne,BE,3.87006,51.02737,WGS84,30
BEVL_VMM_554000:21036013,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-05,2000,12_05,12,5,Previous weather:Heavy rainfall;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Gravel-boulders"",""Substrate condition"":""Plastics"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""Domestic discharges"",""current"":""running"",""structureRight"":""strengthened"",""structureLeft"":""strengthened""}",Philippe Michiels;Laurent Neuville,BEVL_VMM_554000,Europe,115602,185454,Belgian Lambert 72,Scheldt river basin;BAVEGEMSE BEEK;BEVL_WLC_L111_1024,Wetteren,BE,3.87895,50.97832,WGS84,30
BEVL_VMM_561000:21036014,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-05,2000,12_05,12,5,Previous weather:Heavy rainfall;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Leaves & branches,Oily substances"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Laurent Neuville,BEVL_VMM_561000,Europe,111194,193095,Belgian Lambert 72,Scheldt river basin;DAMSLOOT;BEVL_WLC_L107_289,Destelbergen,BE,3.81538,51.04672,WGS84,30
BEVL_VMM_550800:21036018,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-05,2000,12_05,12,5,Previous weather:Heavy rainfall;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches,Oily substances"",""Water surface"":""No visual pollution"",""Water column"":""Sphaerotilus"",""Pollution"":""Domestic discharges,Diffuse agricultural pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Laurent Neuville,BEVL_VMM_550800,Europe,116153,189931,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_31,Wetteren,BE,3.88638,51.01859,WGS84,30
BEVL_VMM_13090:21036020,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-06,2000,12_06,12,6,Previous weather:Heavy rainfall;Current weather:No remarks,Grab sampler,Pz:Freshwater polder watercourse;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_13090,Europe,107339,213618,Belgian Lambert 72,Scheldt river basin;ZWARTESLUISBEEK L1;BEVL_WLC_L107_209,Assenede,BE,3.758,51.23092,WGS84,30
BEVL_VMM_753000:21036021,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-06,2000,12_06,12,6,Previous weather:No remarks;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Leaves & branches,Oily substances"",""Water surface"":""Oil"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_753000,Europe,81019,193318,Belgian Lambert 72,Scheldt river basin;POEKEBEEK L1;BEVL_WLC_L107_234,Ruiselede,BE,3.38507,51.04592,WGS84,30
BEVL_VMM_788000:21036022,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-06,2000,12_06,12,6,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""No remarks"",""Water surface"":""Plant cuttings / plants"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_788000,Europe,93386,203790,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_149,Zomergem,BE,3.55979,51.14139,WGS84,30
BEVL_VMM_789000:21036023,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-06,2000,12_06,12,6,Previous weather:No remarks;Current weather:No remarks,Grab sampler,RtNt:River;Sediment,"{""Substrate composition"":""Clay-loam"",""Substrate condition"":""Oily substances"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution,Methane production"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_789000,Europe,102344,202670,Belgian Lambert 72,Scheldt river basin;BEVL_WLC_L213_152,Evergem,BE,3.68793,51.13213,WGS84,30
BEVL_VMM_790000:21036024,VMM,VMM,"Inland water Macroinvertebrate occurrences in Flanders, Belgium",Flanders Environment Agency,en,https://creativecommons.org/licenses/by/4.0/legalcode,DOI10.15468/4cvbka,2000-12-06,2000,12_06,12,6,Previous weather:Heavy rainfall;Current weather:No remarks,Grab sampler,Bk:Small stream;Sediment,"{""Substrate composition"":""Silt"",""Substrate condition"":""Leaves & branches"",""Water surface"":""No visual pollution"",""Water column"":""No visual pollution"",""Pollution"":""No visual pollution"",""current"":""running"",""structureRight"":""natural"",""structureLeft"":""natural""}",Philippe Michiels;Geert Meganck,BEVL_VMM_790000,Europe,102711,206635,Belgian Lambert 72,Scheldt river basin;BURGGRAVENSTROOM;BEVL_WLC_L117_219,Evergem,BE,3.69266,51.16779,WGS84,30
